"status","count"
"CITIZEN_ACTION_PENDING_AT_APP_L2_VERIF",1
"CITIZEN_ACTION_PENDING_AT_DOC_VERIF",55
"INPROGRESS",20
"PENDING_APPL_FEE",65
"PENDING_SANC_FEE_PAYMENT",113
"CITIZEN_ACTION_PENDING_AT_APPROVAL",112
"DOC_VERIFICATION_INPROGRESS",63
"APP_L2_VERIFICATION_INPROGRESS",1
"FIELDINSPECTION_INPROGRESS",413
"INITIATED",312
"PENDING_ARCHITECT_ACTION_FOR_REWORK",36
"CITIZEN_APPROVAL_INPROCESS",154
"REJECTED",20
"APPROVED",462
"APP_L1_VERIFICATION_INPROGRESS",34
"APPROVAL_INPROGRESS",201
"CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",20
