"tenantid","id","licensetype","structuretype","tradetype","accessorycategory","type","uom","fromuom","touom","rate","createdtime","createdby","lastmodifiedtime","lastmodifiedby","applicationtype"
"od.digapahandi","c105882f-d198-4791-a20c-dbc130c4d859","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT",NULL,NULL,NULL,1000.00,1633659947981,"5c4504e7-40e9-47e9-850e-1b33e699b879",1633659947981,"5c4504e7-40e9-47e9-850e-1b33e699b879","NEW"
"od.digapahandi","1d0d1120-67f1-425d-9017-dd3e87ba7bcf","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT",NULL,NULL,NULL,1000.00,1633660877074,"5c4504e7-40e9-47e9-850e-1b33e699b879",1633660877074,"5c4504e7-40e9-47e9-850e-1b33e699b879","RENEWAL"
"od.digapahandi","36743848-9a6c-450c-95d2-a9f75a824d58","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT",NULL,301,600,500.00,1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.digapahandi","8ef21465-b4f0-47a6-8713-5b36bca4a169","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT","SQFT",0,300,300.00,1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.digapahandi","d3407b33-baa4-47e3-98e9-1538a2f093f4","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT",NULL,0,300,300.00,1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.digapahandi","bb8b5093-22d1-4aa6-84d7-346c923d7cf4","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT","SQFT",301,600,500.00,1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562846924,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","NEW"
"od.digapahandi","1d305c93-4bbe-4efb-bf91-087190790afa","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT",NULL,0,300,300.00,1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.digapahandi","bbcc4e11-bcf8-4155-8151-7ab27b62d553","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT","SQFT",0,300,300.00,1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.digapahandi","efc7c34d-b426-41de-b41c-4d1519202281","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT",NULL,301,600,500.00,1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
"od.digapahandi","399c7b5a-bd67-46db-8f01-477a176a1908","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST3",NULL,"FLAT","SQFT",301,600,500.00,1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1642562851516,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1","RENEWAL"
